Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
"Which of the following communication methods provides the least structure?","Instant messenger","","","","Instant messenger"
"Which of the following is considered an asynchronous communication method?","Electronic mail","","","","Electronic mail"
"Which of the following communication methods has the lowest richness?","Written mail","","","","Written mail"
"When using synchronous communication, all parties involved are present:","At the same time but not necessarily at the same place.","","","","At the same time but not necessarily at the same place."
"_______ environments support the exchange of verbal and nonverbal cues, rapid feedback, and are highly personal.","Rich","","","","Rich"
"You need a richer environment when your communication is:","Complex, difficult to accept, and non-routine.","","","","Complex, difficult to accept, and non-routine."
"A live meeting in an electronic meeting facility is an example of ________ group interaction.","Same time, same place","","","","Same time, same place"
"An electronic meeting facility as the home base is an example of ________ group interaction.","Different time, same place","","","","Different time, same place"
"A synchronous distributed meeting is an example of ________ group interaction.","Same time, different place","","","","Same time, different place"
"A virtual team is an example of ________ group interaction.","Different time, different place","","","","Different time, different place"
"All of the following are benefits of groupware EXCEPT:","Group processing.","","","","Group processing."
"________ enables many people to speak and listen at the same time.","Parallelism","","","","Parallelism"
"________ keeps teams on track and helps them avoid costly diversions.","Process structuring","","","","Process structuring"
"________ can make it easier to discuss controversial or sensitive topics.","Anonymity","","","","Anonymity"
"The ________ is a document that contains the approved project budget for all schedule activities and serves as a basis for comparison during project execution.","Cost baseline","","","","Cost baseline"
"________ is/are used to establish the management reserve.","Reserve analysis","","","","Reserve analysis"
"Which of the flowing is not a component of the overall project budget?","Project buffer.","","","","Project buffer."
"Quality is the degree to which a set of inherent characteristics ________.","Fulfill requirements","","","","Fulfill requirements"
"Who of the following is not known as a quality management pioneer?","Henry Gantt","","","","Henry Gantt"
"Which quality management pioneer is best known for his 14 points of quality?","W. Edwards Deming","","","","W. Edwards Deming"
"Which quality management pioneer is best known for the 80/20 rule?","Joseph Juran","","","","Joseph Juran"
"Which quality management pioneer is best known for the book "Quality is Free?"","Philip B. Crosby","","","","Philip B. Crosby"
"Which quality management pioneer is best known for the fishbone diagram?","Kaoru Ishikawa","","","","Kaoru Ishikawa"
"Which quality management process are focus of the Juran Trilogy?","Quality planning, improvement, and control","","","","Quality planning, improvement, and control"
"Ishikawa's cause-and-effect diagram is also known as:","Fishbone diagram.","","","","Fishbone diagram."
"Deming's model is known as:","Plan-do-check-act model.","","","","Plan-do-check-act model."
"All of the following are part of Ishikawa's actionable items EXCEPT:","Implement work.","","","","Implement work."
"Robert Kaplan and David Norton came up with a system called:","Balanced scorecard.","","","","Balanced scorecard."
"The balanced scorecard suggests viewing organizational activities from the following perspectives EXCEPT:","The quality perspective.","","","","The quality perspective."
"Which generic management systems standard is among the most popular in the world?","ISO 9000","","","","ISO 9000"
"All of the following are ISO 9000 principles EXCEPT for:","Team approach.","","","","Team approach."
"Six Sigma was first conceived of at:","Toyota","","","","Toyota"
"The purpose of Six Sigma is to:","Reduce variation.","","","","Reduce variation."
"What is the highest level of Six Sigma certification?","Champion","","","","Champion"
"Which of the following is NOT part of the Six Sigma methodology?","Controlling the core business processes","","","","Controlling the core business processes"
"The national quality program was named after US Secretary of Commerce:","Malcolm Baldridge.","","","","Malcolm Baldridge."
"The Baldridge National Quality Program recognizes outstanding achievements in ________ areas.","Seven","","","","Seven"
"A systematic approach to managing quality that originated in the 1950s is:","TQM","","","","TQM"
"Quality planning is usually performed:","At the same time that other project planning issues are addressed.","","","","At the same time that other project planning issues are addressed."
"An evaluation of the costs and benefits of alternative approaches to a proposed activity to determine the best alternative is called:","Cost/benefit analysis.","","","","Cost/benefit analysis."
"The study of a competitor's products or business practices for the purpose of improving a company's performance is called:","Benchmarking.","","","","Benchmarking."
"A company can assess its capabilities with respect to best practices within a given industry using:","CMM.","","","","CMM."
"Using ________, companies focus on particular aspects of a product or service to account for the tradeoffs between factors such as quality, reliability, performance, and so on.","Cost/benefit analysis","","","","Cost/benefit analysis"
"Capability maturity models have ________ levels.","Five","","","","Five"
"Which of the following is NOT a software maturity level?","Improving","","","","Improving"
"Cost of quality includes:","Quality assurance costs and failure costs.","","","","Quality assurance costs and failure costs."
"Costs of training staff in design methodologies is an example of:","Prevention costs.","","","","Prevention costs."
"Costs of code inspection and testing is an example of:","Appraisal costs.","","","","Appraisal costs."
"Costs of rework in programming is an example of:","Internal failure costs.","","","","Internal failure costs."
"Warranty costs or liability issues are examples of:","External failure costs.","","","","External failure costs."
"A plan specifying how quality measures will be implemented during a project is called:","Quality management plan.","","","","Quality management plan."
"Operational definitions of specific processes, events, or products, as well as an explanation of how they will be measured in terms of quality are called:","Quality metrics.","","","","Quality metrics."
"The process of ensuring that the project meets the standards outlined in the Plan Quality Management process is called:","Manage quality","","","","Manage quality"
"Quality audits can be:","Scheduled or random.","","","","Scheduled or random."
"The process of monitoring results to determine if the quality standards of the project are being met is called:","Control quality.","","","","Control quality."
"Histograms (or bar charts) where the values being plotted are arranged in descending order are called:","Pareto charts.","","","","Pareto charts."
"Graphical, time-based charts used to display process results are called:","Control charts.","","","","Control charts."
"Diagrams used to identify potential and real causes of problems that organize problems into categories are called:","Cause-and-effect diagrams.","","","","Cause-and-effect diagrams."
"The process of selecting a random sample from a population in order to infer characteristics about that population is called:","Statistical sampling.","","","","Statistical sampling."
"All of the following are types of examples of organizations from which software or its components can be procured EXCEPT:","Hardware companies.","","","","Hardware companies."
"________ help companies develop custom information systems for internal use, or they develop, host, and run applications for customers.","IT services firms","","","","IT services firms"
"Off-the-shelf software systems that cannot be modified to meet specific needs are called:","Turnkey systems.","","","","Turnkey systems."
"A(n) ________ system is a system that integrates individual traditional business functions into a series of modules so that a single transaction occurs seamlessly within a single information system rather than several separate systems.","ERP","","","","ERP"
"Which of the following is NOT true about ERP systems?","It is easier to integrate data using a best-of-breed strategy.","","","","It is easier to integrate data using a best-of-breed strategy."
"Using different software products from different sources (including in house development) to capitalize on the strengths of different products is referred to as:","Best-of-breed strategy.","","","","Best-of-breed strategy."
"Software-as-a-Service uses a(n) ________ model.","Application service provider","","","","Application service provider"
"Open source software is different than other types of software because:","The source code is freely available.","","","","The source code is freely available."
"When the task requires custom support, companies should turn to:","IT services firms","","","","IT services firms"
"When the supported task is generic, companies should turn to:","Packaged software producers","","","","Packaged software producers"
"The association designed to bring together project management professionals and systematically capture project management knowledge is called:","Project Management Institute","","","","Project Management Institute"
"A planned undertaking of related activities to reach an objective that has a beginning and an end is called:","Project","","","","Project"
"A ____________ is a person who has an interest in a new or existing project.","Stakeholder","","","","Stakeholder"
"The project sponsor has the responsibility of making sure that the project is given the ________ for its successful completion.","Resources necessary","","","","Resources necessary"
"Analyzing the scope of a project and determining the probability of success is called:","Feasibility study","","","","Feasibility study"
"The phases a project goes through from concept to completion are referred to as:","Project life cycle","","","","Project life cycle"
"A repository on the key project management knowledge areas is called:","PMBOK","","","","PMBOK"
"There are ___________ major project management process groups.","Four","","","","Four"
"The phases a project goes through from concept to completion are called:","Project life cycle","","","","Project life cycle"
"Which activity is NOT part of the planning process?","Closedown planning.","","","","Closedown planning."
"A bar chart showing the start and end dates for the activities of a project is called:","Gantt chart.","","","","Gantt chart."
"A schematic display that illustrates the various tasks in a project, as well as their sequential relationship is called:","Network diagram.","","","","Network diagram."
"Processes in the _________________ process group are concerned with authorizing the continuation of an existing project or the start of a new project.","Initiating","","","","Initiating"
"Processes in the _________________ process group are concerned with planning scope, time, cost, and risk.","Planning","","","","Planning"
"Processes in the _________________ process group are concerned with completing the actual project deliverables.","Executing","","","","Executing"
"Processes in the _________________ process group are concerned with measuring performance and progress and comparing these against planned performance and progress.","Monitoring and controlling","","","","Monitoring and controlling"
"Processes in the _________________ process group are concerned with finalizing all paperwork and having all responsible parties sign off on the phase or project.","Closing","","","","Closing"
"The Project Management Body of Knowledge (6th ed.) contains _________________ core areas.","Ten","","","","Ten"
"The project management core area including develop project management plan, direct and manage project work, and perform integrated change control is called:","Project integration management","","","","Project integration management"
"The project management core area including plan scope management, define scope, and control scope is called:","Project scope management","","","","Project scope management"
"The project management core area including plan schedule management, define activities, and sequence activities is called:","Project schedule management","","","","Project schedule management"
"The project management core area including estimate costs, determine budget, and control costs is called:","Project cost management","","","","Project cost management"
"The project management core area including plan quality management, manage quality, and control quality is called:","Project quality management","","","","Project quality management"
"The project management core area including acquire resources, develop team, and manage team is called:","Project resource management","","","","Project resource management"
"The project management core area including plan communications management, manage communications, and monitor communications is called:","Project communications management","","","","Project communications management"
"The project management core area including plan risk management, identify risks, and implement risk responses is called:","Project risk management","","","","Project risk management"
"The project management core area including plan procurement management, conduct procurements, and control procurements is called:","Project procurement management","","","","Project procurement management"
"The project management core area including identify stakeholders, plan stakeholder engagement, and monitor stakeholder engagement is called:","Project stakeholder management","","","","Project stakeholder management"
"Project success is the degree to which project objectives have been achieved:","Within budget, on time, and with the agreed upon quality and scope.","","","","Within budget, on time, and with the agreed upon quality and scope."
"Which factor is not among the primary reasons for project failure?","Complete requirements","","","","Complete requirements"
"Failure can take place _________ of a project.","In processes in any process group","","","","In processes in any process group"
"Authorizing the continuation of a non-viable project is a potential cause for failure happening in the:","Executing process group","","","","Executing process group"
"Failure to correctly estimate costs, time, or complexity of a project usually happens in the:","Planning process group","","","","Planning process group"
"Errors made when estimating the expected or actual performance of the project, resulting in an inaccurate picture of the project status, happen in the:","Planning process group","","","","Planning process group"
"Errors made when closing contracts for externally purchased goods or services happen in the:","Closing process group","","","","Closing process group"
"The Gantt chart was developed:","By a management consultant named Henry Gantt","","","","By a management consultant named Henry Gantt"
"A method used for determining the sequence of task activities that directly affect the completion of a project is called:","Critical path method","","","","Critical path method"
"A technique that uses optimistic, pessimistic, and realistic time to calculate the expected time for a particular task is called:","Three-point estimating","","","","Three-point estimating"
"The phases of managing a project are called:","Project life cycle","","","","Project life cycle"
"Most project life cycles share the following characteristics:","Cost and staffing levels are low at the start, higher at the end, and drop rapidly as the project nears an end.","","","","Cost and staffing levels are low at the start, higher at the end, and drop rapidly as the project nears an end."
"Projects are divided into smaller parts called:","Phases","","","","Phases"
"The review points at the end of each stage are called:","Phase gates","","","","Phase gates"
"The four phases of the systems development life cycle include all EXCEPT:","Bug fixing","","","","Bug fixing"
"The four phases of the systems development (in the correct order) are:","Planning and selection, analysis, design, implementation.","","","","Planning and selection, analysis, design, implementation."
"Some systems analysts consider the life cycle to be:","A circle","","","","A circle"
"The phase of the systems development life cycle where the need for a new system is identified and the scope is determined is called:","Systems planning","","","","Systems planning"
"The second phase of the systems development life cycle is called:","Systems analysis","","","","Systems analysis"
"The third phase of the systems development life cycle is called:","Systems design","","","","Systems design"
"The second phase of the systems development life cycle encompasses all EXCEPT:","Design requirements","","","","Design requirements"
"Specifications which focus on the origin, flow, and processing of data in a system, but are not tied to any specific hardware and systems software platform are called:","Logical design","","","","Logical design"
"Structured systems design that can be broken down into smaller and smaller units for conversion into instructions written in a programming language is called:","Physical design","","","","Physical design"
"The fourth phase of the systems development life cycle is called:","Systems implementation","","","","Systems implementation"
"Systems implementation includes all EXCEPT:","Maintenance","","","","Maintenance"
"Iterations of the systems development life cycle (after a system has been built) are called:","Systems maintenance","","","","Systems maintenance"
"All of the following are examples of enterprise environmental factors, EXCEPT:","Project management office","","","","Project management office"
"What is NOT a common organizational structure?","Departmental","","","","Departmental"
"A functional organizational structure is sometimes thought of as resembling a:","Pyramid","","","","Pyramid"
"The organizational unit created to centralize and coordinate projects within an organization is called:","Project management office","","","","Project management office"
"Social, economic, and environmental influences include all EXCEPT:","Enterprise environmental factors","","","","Enterprise environmental factors"
"A document approved by a recognized body that provides, for common and repeated use, rules, guidelines, or characteristics for products, processes, or services with which compliance is not mandatory is called:","Standard","","","","Standard"
"A document that specifies product, process, or service characteristics, including the applicable administrative provisions, with which compliance is mandatory is called:","Regulation","","","","Regulation"
"What is NOT a characteristic of a Gantt chart?","A Gantt chart clearly shows how tasks must be ordered.","","","","A Gantt chart clearly shows how tasks must be ordered."
"What is NOT characteristic of a network diagram?","A network diagram shows which tasks can be done in parallel.","","","","A network diagram shows which tasks can be done in parallel."
"Persons, groups of people, pieces of equipment, or materials used in accomplishing an activity are called:","Resources","","","","Resources"
"The shortest time in which a project can be completed is shown by the:","Critical chain.","","","","Critical chain."
"The amount of time an activity can be delayed without delaying the project is called:","Slack time","","","","Slack time"
"The amount of time a task can be delayed without delaying the early start of any immediately following task is called:","Free slack","","","","Free slack"
"The amount of time a task can be delayed without delaying the completion of the project is called:","Total slack","","","","Total slack"
"The technique that uses optimistic, pessimistic, and realistic time to calculate the expected time for a particular task is called:","Three-point estimating","","","","Three-point estimating"
"The PMBOK organizes project management processes into _________ groups.","Five","","","","Five"
"A series of continuous actions that bring about a particular result, end, or condition is called a:","Process","","","","Process"
"Develop project charter is part of which process group?","Initiating","","","","Initiating"
"Define activities is part of which process group?","Planning","","","","Planning"
"Estimate risks is part of which process group?","Planning","","","","Planning"
"Developing project team is part of which process group?","Executing","","","","Executing"
"Conduct procurement is part of which process group?","Executing","","","","Executing"
"Manage communications is part of which process group?","Executing","","","","Executing"
"Validate scope is part of which process group?","Controlling","","","","Controlling"
"Manage project team is part of which process group?","Executing","","","","Executing"
"Control quality is part of which process group?","Controlling","","","","Controlling"
"Close project or phase is part of which process group?","Closing","","","","Closing"
"What is NOT one of the five stages of project team development?","Informing","","","","Informing"
"During ________, team members get to know each other and establish team goals and work assignments.","Forming","","","","Forming"
"During ________, team members struggle to establish goals, power, and leadership roles.","Storming","","","","Storming"
"During ________, teams develop a sense of common purpose and specify normal operating procedures.","Norming","","","","Norming"
"During ________, actual project work is rapidly undertaken by the team.","Performing","","","","Performing"
"During ________, team members wrap up the project's final activities.","Adjourning","","","","Adjourning"
"Which is NOT among the four types of factors leading to effective teams?","Conformity","","","","Conformity"
"Which factor(s) of work design was NOT listed as being highly motivating for project team member performance?","Group think","","","","Group think"
"What is NOT among the contextual factors important for achieving high team performance?","Management","","","","Management"
"An individual's intensity, direction, and persistence of effort toward attaining a goal is called:","Motivation","","","","Motivation"
"________ refers to how hard someone tries to attain a goal.","Intensity","","","","Intensity"
"Motivation refers to an individual's ________ of effort toward attaining a goal.","Intensity, direction, and persistence","","","","Intensity, direction, and persistence"
"The _____ is a dedicated part of the organization whose purpose is to focus on various aspects of project management and provide services to the rest of the organization along those dimensions.","Project management office","","","","Project management office"
"All of the following are inputs into the Estimate Activity Resources process except:","Enterprise environmental factors.","Process assets.","Outputs from prior stages of the project.","Scope baseline","Project scope statement"
"All of the following are tools and techniques to Estimate Activity Resources process EXCEPT:","Expert judgment.","Bottom-up estimating.","Analogous estimating.","Parametric estimating.","Activity-resource analysis."
"The _______ is a very detailed listing of the resource requirements for the individual activities.","Bill of resources","Activity resource requirements","Activity list","Resource breakdown schedule","Activity resource requirements"
"________ is the process of estimating the duration of the project activities using both project scope and resource information.","Estimate resources","Estimate activity durations","Estimate scope duration","Estimate scope and resource needs","Estimate activity durations"
"All of the following are techniques used in the process Estimate Activity Durations EXCEPT:","Expert judgment.","Analogous estimating.","Three-point estimates.","Psychometric estimating.","Psychometric estimating."
"The estimation of activities' durations using some type of mathematical process and averaging optimistic, pessimistic, and most likely estimates.","Three-point estimating","","","","Three-point estimating"
"________ is a technique used to establish contingency reserves during a project to guard against potential risks.","Contingency analysis","Contingency planning","Reserve Analysis","Contingency reserve planning","Reserve Analysis"
"The process of determining start and finish dates for project activities is called:","Network diagramming.","Time management.","Start-finish analysis.","Develop schedule.","Develop schedule."
"Dates imposed to meet some type of development deadline are called:","Mandatory dates.","External dependencies.","Imposed dates.","External deadlines.","Imposed dates."
"The process of calculating expected, early, and late start and finish dates of a project is called:","PERT analysis.","Schedule network analysis.","EEL analysis.","Reserve analysis.","Schedule network analysis."
"The critical path method determines the sequence of task activities that directly affect the completion of a project by:","Determining the shortest path through a network diagram.","Determining the longest path through a network diagram","Adding all activities in a network diagram.","Subtracting the shortest path from the longest path in a network diagram.","Determining the longest path through a network diagram"
"The longest path through a network diagram is the:","Critical chain.","Critical path.","Longest path.","Network path.","Critical path."
"The shortest time in which a project can be completed is shown by the:","Shortest path.","Addition of all paths.","Longest path.","Crucial path.","Critical chain."
"________ is a technique that is used to estimate project duration when individual activity duration estimates are uncertain.","Resource leveling","OPR-method","Maximum likelihood procedure","Three-point estimating","Three-point estimating"
"The use of mathematical techniques to shorten the project schedule while adhering to the overall project scope is called:","Schedule compression.","Crashing.","Fast-tracking.","Resource adjustment.","Schedule compression."
"Crashing and fast-tracking are ____ techniques.","Schedule compression","","","","Schedule compression"
"The practice of dedicating extra resources to a particular activity in an attempt to finish the activity sooner than the scheduled completion date is called:","Schedule compression.","Crashing.","Fast-tracking.","Resource adjustment.","Crashing."
"The performance of activities in parallel that would normally be performed in sequence in an attempt to shorten the duration of a project is called:","Schedule compression.","Crashing.","Fast-tracking.","Resource adjustment.","Fast-tracking."
"________ is any form of network analysis where resource management issues drive scheduling decisions.","Resource management","Resource leveling","Schedule leveling","Resource analysis","Resource leveling"
"The longest path through a network diagram, considering both task dependencies and resource dependencies is called:","Critical path.","Critical chain.","Resource path.","Resource chain.","Critical path."
"Under conditions of unlimited resources, the critical path:","Is longer than the critical chain.","Is shorter than the critical chain.","And the critical chain are equal.","Is not affected by the critical chain.","And the critical chain are equal."
"A ________ contains data and information that are compiled and used in conjunction with manual methods or project management software to perform schedule network analysis and to generate the schedule.","Project management plan","Project workbook","Schedule repository","Schedule model","Schedule model"
"Projects are:","Temporary","","","","Temporary"
"A ___________ provides high level support for a project.","Project sponsor","","","","Project sponsor"
"A __________ is responsible for initiating, planning, executing, controlling, and closing down a project.","Project manager","","","","Project manager"
"Information systems projects are undertaken to take advantage of business opportunities and to ________.","Solve business problems","","","","Solve business problems"
"What is NOT unique about IT projects:","A variety of different stakeholders has to be managed.","","","","A variety of different stakeholders has to be managed."
"The process used for executing the project management plan is called:","Project management methodology","","","","Project management methodology"
"A repository on the key project management knowledge areas is called:","PMBOK","","","","PMBOK"
"Project management process groups include all EXCEPT:","Abandoning","","","","Abandoning"
"Agile approaches focus on:","Quality","","","","Quality"
"A widely used agile methodology to deliver project outcomes (e.g. software) at regular intervals vs after several months or years.","Scrum","","","","Scrum"
"Scrum uses ___________ that last for one or two weeks.","Sprints","","","","Sprints"
"Specific roles in Scrum are:","Product owner","Scrum Master","Scrum team","","Product owner"
"In agile teams, the leader's role shifts towards that of a facilitator, in that the leader practices:","Servant leadership","","","","Servant leadership"
"Each sprint consists of:","A sprint planning meeting","Daily standups","A sprint review","A sprint retrospective","A sprint planning meeting"
"A meeting during which the team jointly decides on which feature to implement during the sprint.","Sprint planning meeting","","","","Sprint planning meeting"
"Fifteen-minute meeting used to discuss issues faced during the previous day and goals for the current day.","Daily standups","","","","Daily standups"
"Meeting during which the team presents the work completed during the sprint.","Sprint review","","","","Sprint review"
"Meeting during which the team discusses the sprint, identifies positive and negative aspects of the process, and agrees on changes to the process for the next sprint.","Sprint retrospective","","","","Sprint retrospective"
"The key stakeholder of the project who conveys the vision of the end product to the team and guides the team on the priority of features to deliver.","Product owner","","","","Product owner"
"The facilitator aiding the Scrum team in being effective.","Scrum Master","","","","Scrum Master"
"Team of five to seven cross-functional members who are jointly responsible for delivering the product on time and at the expected quality at the end of each sprint.","Scrum team","","","","Scrum team"
"Rather than controlling, leaders of agile teams need to ________________ their team members and facilitate the team's work.","Empower","","","","Empower"
"Each iteration of the Agile life cycle includes:","Analyzing","Designing","Building","Testing","Analyzing"
"Agile Project Management is a __________________ that uses various _______________________.","Philosophy, methodologies","","","","Philosophy, methodologies"
"Which of the following are methodologies used in software development and/or project management?","Kanban","Scrum","Crystal","eXtreme Programming","Kanban"
"The ________________ approach, which is based on agile principles, puts together engineers from both development and operations to collaborate throughout the system's life cycle from design to development to operations to support.","DevOps","","","","DevOps"
"DevOps creates which of the following benefits?","Optimizes reliability of the software developed","Optimizes productivity","Gains agility needed for innovation","","Optimizes reliability of the software developed"
"The agile manifesto emphasizes a focus on:","Individuals and interactions","Working software","Customer collaboration","Responding to change","Individuals and interactions"
"Which of the following is NOT part of the project identification and selection process?","Establishing the scope baseline","","","","Establishing the scope baseline"
"Information systems development projects identified by the user department have a:","Narrow, non-strategic focus","","","","Narrow, non-strategic focus"
"A statement that defines a company's purpose is called:","Mission statement","","","","Mission statement"
"A statement that expresses an organization's qualitative or quantitative goals for reaching a desired future state is called:","Objective statement","","","","Objective statement"
"Information systems planning is an orderly means of assessing the information needs of a company and defining the ________ that will best satisfy those needs.","Systems, databases, and technologies","","","","Systems, databases, and technologies"
"Information systems planning is a ________-step process.","Three","","","","Three"
"The first step of information systems planning is:","To assess current information systems-related assets.","","","","To assess current information systems-related assets."
"The classification criterion assessing the extent to which a project is viewed as improving profits is called:","Potential benefits.","","","","Potential benefits."
"The classification criterion assessing the extent to which activities add value and costs when developing products and/or services is called:","Value chain analysis","","","","Value chain analysis"
"When identifying the financial benefits and costs associated with an information systems development project, organizations are said to assess the:","Economic feasibility","","","","Economic feasibility"
"The justification that presents the economic, technical, operational, schedule, legal and contractual, and political factors influencing a proposed information systems project is called:","Business case","","","","Business case"
"The type of cost-benefit analysis used to identify at what point benefits equal costs is called:","Breakeven analysis.","","","","Breakeven analysis."
"________ is the development organization's ability to construct a proposed system.","Technical feasibility","","","","Technical feasibility"
"________ is the degree to which a proposed system solves business problems or takes advantage of business opportunities.","Operational feasibility","","","","Operational feasibility"
"________ is the degree to which the potential time frame and completion dates for all major activities within a project meet organizational deadlines and constraints.","Schedule feasibility","","","","Schedule feasibility"
"________ is the degree to which key stakeholders within the organization can affect project success.","Political feasibility","","","","Political feasibility"
"Multi-criteria analysis uses a(n) ________ method for a variety of criteria to contrast alternative projects or system features.","Weighted scoring","","","","Weighted scoring"
"The ________ serves as the central repository for all project-related correspondence, inputs, outputs, deliverables, procedures, and standards.","Project management information system","","","","Project management information system"
"______ serve as a standard for measuring project progress and performance.","Baselines","","","","Baselines"
"________ focuses on gaining formal acceptance of the project scope.","Validate scope","","","","Validate scope"
"________ focuses on formal procedures for managing changes to the project's scope.","Control scope","","","","Control scope"
"Scope ________ is a progressive, uncontrolled increase in project scope.","Creep","","","","Creep"
"The ________ is a dedicated part of the organization whose purpose is to focus on various aspects of project management and provide services to the rest of the organization along those dimensions.","Project management office","","","","Project management office"
"Resources allocation plays a large role in determining activity duration.","True","","","","True"
"Resources affect both the time and the cost of a project.","True","","","","True"
"The sequence of activities can be determined without considering resources.","False","","","","False"
"Managing resources should be considered:","During all stages of a project","","","","During all stages of a project"
"The actual time spent working on an activity, not accounting for any breaks, is called:","Effort","","","","Effort"
"The elapsed time between start and finish of an activity is referred to as:","Duration","","","","Duration"
"All of the following are inputs into the Estimate Activity Resources process EXCEPT:","Project scope statement","","","","Project scope statement"
"All of the following are tools and techniques to Estimate Activity Resources process EXCEPT:","Activity-resource analysis.","","","","Activity-resource analysis."
"The estimation based on the experience of one or more experts on the particular activity or project is called:","Expert judgment","","","","Expert judgment"
"Benchmarking data available from market research companies that may be used to more accurately estimate resource needs is called:","Published estimating data","","","","Published estimating data"
"________ is an estimating technique in which trade-offs between the time needed, the resources invested, and the desired quality of the final deliverable are examined.","Alternatives analysis","","","","Alternatives analysis"
"________ is an estimating technique in which complex activities are further decomposed to a point where more accurate estimates can be made.","Bottom-up estimating","","","","Bottom-up estimating"
"The _______ is a very detailed listing of the resource requirements for the individual activities.","Activity resource requirements","","","","Activity resource requirements"
"A(n) ________ is a hierarchical, graphical representation of all needed resources ordered by type or category.","Resource breakdown schedule","","","","Resource breakdown schedule"
"________ is the process of estimating the duration of the project activities using both project scope and resource information.","Estimate activity durations","","","","Estimate activity durations"
"The estimation of activities' durations based upon the duration of similar activities is called:","Analogous estimating","","","","Analogous estimating"
"The estimation of activities' durations using some type of mathematical process is called:","Parametric estimating.","","","","Parametric estimating."
"The estimation of activities' durations by averaging optimistic, pessimistic, and most likely estimates is called:","Three-point estimates.","","","","Three-point estimates."
"________ is a technique used to establish contingency reserves during a project to guard against potential risks.","Reserve Analysis","","","","Reserve Analysis"
"The process of determining start and finish dates for project activities is called:","Develop schedule","","","","Develop schedule"
"The process of calculating expected, early, and late start and finish dates of a project is called:","Schedule network analysis","","","","Schedule network analysis"
"The critical path method determines the sequence of task activities that directly affect the completion of a project by:","Determining the longest path through a network diagram","","","","Determining the longest path through a network diagram"
"The longest path through a network diagram is the:","Critical path.","","","","Critical path."
"Any activity on the critical path:","Is called critical activity.","","","","Is called critical activity."
"The time an activity can be delayed without affecting the immediately following activity is called:","Free slack.","","","","Free slack."
"The time an activity can be delayed without affecting the overall completion date of a project is called:","Total slack.","","","","Total slack."
"________ is a technique that is used to estimate project duration when individual activity duration estimates are uncertain.","Three-point estimating","","","","Three-point estimating"
"The practice of dedicating extra resources to a particular activity in an attempt to finish the activity sooner than the scheduled completion date is called:","Schedule compression.","Crashing","","","Schedule compression."
"The performance of activities in parallel that would normally be performed in sequence in an attempt to shorten the duration of a project is called:","Fast-tracking","","","","Fast-tracking"
"The ________ is used to account for unforeseen work.","Management reserve","","","","Management reserve"
"Which of the following is not a component of the overall project budget?","Project buffer","","","","Project buffer"
"What is another name for the 80/20 rule?","Pareto principle","","","","Pareto principle"
"The balanced scorecard approach is:","Management system.","","","","Management system."
"The process of identifying relevant quality standards and developing a plan to ensure the project meets those standards is called:","Plan quality management","","","","Plan quality management"
"The set of overall intentions and direction of an organization with regard to quality, as formally expressed by top management is called:","Quality policy","","","","Quality policy"
"What is project management?","The ability to complete a task within a given amount of time","The ability to complete a task with a given budget","The ability to manage a temporary endeavor to create a unique product or service—on time and within budget","The ability to administer a series of chronological tasks within a given amount of time and under budget","The ability to manage a temporary endeavor to create a unique product or service—on time and within budget"
"All of the following are project management process groups except for which one?","Initiating","Planning","Implementing","Monitoring and controlling","Implementing"
"You are a project manager in your organization and would like to present a project to management. What organizational component is most likely to review your project to determine if it is worthy of investment?","Project sponsor","Functional management","Program managers","Portfolio review board","Portfolio review board"
"Why must you interview the project decision makers before starting the project?","To detail the budget of the project","To determine the project results","To gain their support and trust","To determine the project completion date","To determine the project results"
"What is the purpose of the project charter?","To launch the project team","To identify the project manager","To assign a budget to the project","To authorize a project","To authorize a project"
"You are the project manager for your organization, and management has presented a new project to you. This project requires that you adhere to several government regulations for the project deliverable. In this instance, what are the government regulations considered?","Scope","Requirements","Assumptions","Standards","Requirements"
"Marci is a project manager in her organization and she is collecting requirements for a new project. She is working with Frances, an end user, to see how Frances is using the current software that Marci's project deliverable will replace. Marci asks Frances questions as she works, stops Frances to explore the purpose behind the software activities, and quizzes Frances on each step of the software activity. What is Marci doing in this instance?","Gathering project requirements","Exploring the learning curve","Cross training","Active observation","Active observation"
"You are helping to create the project charter. One of the elements you need to include is the high-level risks in your project. Which one of the following is the best definition of a risk?","A potential event that can cause the project to lose time and monies","An uncertain event or condition that can have a negative or positive effect on the project","An uncertain event or condition that will cause the project to lose time and/or monies should it come into fruition","A potential event or condition that may affect the project's ability to meet the project quality expectations","An uncertain event or condition that can have a negative or positive effect on the project"
"Management has asked that you hire a moderator for a new focus group. What is a focus group?","An interview process for elective team members","An interview process by the team members to determine the success of a project manager","A sampling of users affected by the proposed technology","A sampling of management affected by the proposed technology","A sampling of users affected by the proposed technology"
"Why can a focus group be counterproductive?","The participants may not understand the technology.","The management involved may not like the technology being implemented.","The participants may focus on the problems of the old technology rather than the goals of the project.","Team members may have political agendas against the project manager.","The participants may focus on the problems of the old technology rather than the goals of the project."
